fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,eta
1,0.7248677248677249,0.6547870004391744,0.6357367012706819,0.6401553763939085,0.1091954022988505,0.4358974358974359,0.154985754985755,0.1091954022988505,0.4358974358974359,0.154985754985755,eo,2.0
2,0.671957671957672,0.5776593901593902,0.5885762496438981,0.581929181929182,0.2005057803468208,-0.0486486486486487,0.0949938574938574,0.2005057803468208,-0.3157894736842105,-0.1661568451042135,eo,2.0
3,0.7354497354497355,0.6793957307060756,0.6478383728485727,0.6566055443414488,0.1452012383900928,0.3333333333333333,0.1768335071254779,0.1452012383900928,0.3333333333333333,0.1768335071254779,eo,2.0
4,0.6825396825396826,0.6273187741173166,0.612157683586255,0.6109902351253368,0.0935044525929806,0.0766129032258065,0.0383064516129032,0.0935044525929806,-0.1458333333333333,-0.1016856229556943,eo,2.0
5,0.708994708994709,0.6516952470440843,0.6390592243186582,0.6375588532815675,0.3375893769152195,0.2571428571428572,0.2323010323010323,0.3375893769152195,-0.4313725490196078,-0.2708043847460244,eo,2.0
6,0.6702127659574468,0.6481200744014021,0.626984126984127,0.6309665391148824,0.4734848484848484,0.3238095238095237,0.3237368229734642,0.4734848484848484,-0.4489795918367347,0.3237368229734642,eo,2.0
7,0.6968085106382979,0.5701413143273609,0.6055255255255255,0.5693143114195746,0.3072289156626506,0.4499999999999999,0.2864155251141552,0.3072289156626506,0.4499999999999999,0.2864155251141552,eo,2.0
8,0.6808510638297872,0.6045498361287834,0.5876039304610733,0.5913522012578617,0.0465116279069767,-0.0451127819548872,-0.0304336712427835,0.0465116279069767,-0.1548064918851435,-0.1445288913814702,eo,2.0
9,0.6808510638297872,0.6335696923979549,0.6396972824217406,0.6331521739130435,0.0508720930232557,0.0921052631578946,0.0547590992406388,0.0508720930232557,0.0921052631578946,0.0547590992406388,eo,2.0
10,0.6702127659574468,0.6101838755304102,0.610909090909091,0.6104387911500767,0.1745664739884393,0.2102564102564103,0.1454267125908917,0.1745664739884393,0.2102564102564103,0.1454267125908917,eo,2.0
1,0.708994708994709,0.6297508944144055,0.6173489401644742,0.6208301404853129,0.1149425287356321,0.4871794871794872,0.1769230769230769,0.1149425287356321,0.4871794871794872,0.1769230769230769,eo,2.5
2,0.6666666666666666,0.5772055719712958,0.5854315955558477,0.580822848366708,0.2120664739884393,-0.0486486486486487,0.102346798670328,0.2120664739884393,-0.3157894736842105,-0.1772679562153246,eo,2.5
3,0.7248677248677249,0.6634330011074198,0.6266489868081054,0.6335709938561865,0.1452012383900928,0.1333333333333334,0.1125477928397636,0.1452012383900928,-0.2926829268292683,-0.1634413266157285,eo,2.5
4,0.6825396825396826,0.6273187741173166,0.612157683586255,0.6109902351253368,0.0935044525929806,0.0766129032258065,0.0383064516129032,0.0935044525929806,-0.1458333333333333,-0.1016856229556943,eo,2.5
5,0.6878306878306878,0.6194558194558194,0.6139019916142557,0.6065615011311793,0.229826353421859,0.2571428571428572,0.1384781884781885,0.229826353421859,0.2571428571428572,0.1384781884781885,eo,2.5
6,0.6702127659574468,0.6479727934534246,0.626984126984127,0.6311938809444629,0.4791666666666666,0.346031746031746,0.3348479340845753,0.4791666666666666,-0.4693877551020408,0.3348479340845753,eo,2.5
7,0.6968085106382979,0.5701413143273609,0.6055255255255255,0.5693143114195746,0.3072289156626506,0.4499999999999999,0.2864155251141552,0.3072289156626506,0.4499999999999999,0.2864155251141552,eo,2.5
8,0.6861702127659575,0.6172987779182469,0.5990173847316704,0.6037496515193755,0.1773255813953488,0.2669172932330827,0.1255813663512013,0.1773255813953488,0.2669172932330827,0.1255813663512013,eo,2.5
9,0.6595744680851063,0.6060912698412699,0.6151801071305716,0.6077822570446466,0.0508720930232557,0.1184210526315789,0.0641856506938989,0.0508720930232557,0.1184210526315789,0.0641856506938989,eo,2.5
