fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.8322147651006712,0.8767412587412586,0.8290795320207085,0.8392934451103725,-0.0553709856035437,-0.050000000000000044,-0.05885899814471246,dp
2,0.8523489932885906,0.8822857142857142,0.8594878559184309,0.857915315553791,0.03821196827685652,-0.04999999999999993,-0.01772629310344824,dp
3,0.8657718120805369,0.8920898141983902,0.8615824042865785,0.8662207139899809,0.033996383363471994,-0.11111111111111116,-0.06484517304189438,dp
4,0.8456375838926175,0.8949019607843137,0.841591798369292,0.8505317535712811,-0.011917659804983771,0.0,-0.014721485411140586,dp
5,0.8590604026845637,0.9071895424836601,0.8557347670250897,0.8715654077723045,-0.10677966101694919,-0.13043478260869568,-0.13254380272550292,dp
6,0.8053691275167785,0.8607272727272728,0.8080165799453214,0.8156810829817159,0.040144665461121165,-0.11111111111111116,-0.05041523880090151,dp
7,0.8456375838926175,0.9,0.8422296918767506,0.857423797217975,-0.0030511060259343914,-0.11538461538461542,-0.10409382284382286,dp
8,0.8456375838926175,0.8791935483870967,0.8650933118605533,0.8505400074716498,-0.07178932178932182,0.0,-0.04374389051808406,dp
9,0.87248322147651,0.8834023464458248,0.862365220835809,0.861596622765912,-0.049656915854098926,0.04444444444444451,-0.04267793138760878,dp
10,0.8456375838926175,0.8850909090909092,0.8471206896551724,0.8525193162219686,0.07657657657657657,-0.16666666666666663,-0.07253711201079621,dp
