fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.9995105237395986,0.9994544462629569,0.9996087636932707,0.9995312667068393,0.1419878404323402,0.0,0.000429553264604811,eo
2,0.9995105237395986,0.9994692144373672,0.9996128532713898,0.999540709908767,0.14853285672144234,0.0,-0.0018050541516245488,eo
3,1.0,1.0,1.0,1.0,0.16504956760177175,0.0,0.0,eo
4,1.0,1.0,1.0,1.0,0.12790088323587084,0.0,0.0,eo
5,0.9990210474791973,0.9988283538371411,0.9992211838006231,0.9990232819921477,0.0839565921486142,0.0,0.0,eo
6,0.9995105237395986,0.9996141975308642,0.999485596707819,0.9995495868107334,0.15499270182267302,-0.0016920473773265332,-0.0008460236886632666,eo
7,1.0,1.0,1.0,1.0,0.1452798984634911,0.0,0.0,eo
8,0.9995102840352595,0.9995949777237748,0.9994121105232217,0.9995031615771133,0.14043919009281297,0.0,0.0,eo
9,0.9995102840352595,0.9994783515910276,0.999613750482812,0.9995457348329229,0.12439337487084756,0.0,-0.0017482517482517483,eo
10,0.9990205680705191,0.9990703437754104,0.9990703437754104,0.9990703437754104,0.1073642024846706,-0.001808318264014508,-0.00046089672065973623,eo
