fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
5,0.6960352422907489,0.6655214031075807,0.6807171143896097,0.6673226616774226,0.0896915659959421,0.0184509326845093,0.0532757446814384,0.0896915659959421,-0.1350027218290691,-0.0673682972568807,eo,0.0001
6,0.6769456681350955,0.6530075821302758,0.665936819825912,0.6563504191178071,0.0489034020734309,-0.0166533083978983,0.0026573816854851,0.0489034020734309,-0.0166533083978983,0.0311509995337716,eo,0.0001
7,0.6793930494371023,0.6551495984123709,0.6741617890061665,0.6560002920728748,0.0277186977173515,0.0638635013157522,0.0211118714345269,0.0277186977173515,0.0819888964304982,0.023772509575786,eo,0.0001
8,0.6895200783545543,0.6626022559796788,0.677808654444656,0.6557804598502274,0.0061607867262239,-0.0467709462598729,-0.0310381184384878,0.0061607867262239,0.1074211502782931,0.0775473098330241,eo,0.0001
9,0.67384916748286,0.6450420030747243,0.6603690285258739,0.6476401400756387,0.0507777160738974,-0.0376554174067496,0.0032897087628798,0.0507777160738974,-0.0436713380344551,0.0302934813598713,eo,0.0001
10,0.672869735553379,0.645535063188779,0.6560454723073417,0.6472079073434486,0.0688104462289133,0.0708634719710669,0.0560063681250554,0.0688104462289133,-0.0739262216308124,0.0560063681250554,eo,0.0001
1,0.7033773861967695,0.6750440570349124,0.6849516569648539,0.6735940622520036,0.0219209983645025,-0.0329139622873665,-0.0197896118620113,0.0219209983645025,0.1399235069137981,0.0929770206324716,eo,0.001
2,0.6852667645619187,0.6621654141270686,0.6715833349979691,0.664588206874713,0.0686633465789793,-0.0385216937959798,0.0052111866484422,0.0686633465789793,-0.0416258869586493,0.0092546415021948,eo,0.001
3,0.6926089084679393,0.6650721971801282,0.6827106881871923,0.662435665512933,0.0501021899933812,0.0063429823549763,0.0112800775000758,0.0501021899933812,0.0705337690631808,0.0602496820544337,eo,0.001
4,0.706803720019579,0.6778162860494757,0.6921811364894132,0.6770245514504108,0.0412795641083482,-0.0128141670791398,0.0013886907493484,0.0412795641083482,0.0738520408163265,0.0600839309545572,eo,0.001
5,0.6960352422907489,0.6655214031075807,0.6807171143896097,0.6673226616774226,0.0896915659959421,0.0184509326845093,0.0532757446814384,0.0896915659959421,-0.1350027218290691,-0.0673682972568807,eo,0.001
6,0.6769456681350955,0.6530075821302758,0.665936819825912,0.6563504191178071,0.0489034020734309,-0.0166533083978983,0.0026573816854851,0.0489034020734309,-0.0166533083978983,0.0311509995337716,eo,0.001
7,0.6793930494371023,0.6551495984123709,0.6741617890061665,0.6560002920728748,0.0277186977173515,0.0638635013157522,0.0211118714345269,0.0277186977173515,0.0819888964304982,0.023772509575786,eo,0.001
8,0.6895200783545543,0.6626022559796788,0.677808654444656,0.6557804598502274,0.0061607867262239,-0.0467709462598729,-0.0310381184384878,0.0061607867262239,0.1074211502782931,0.0775473098330241,eo,0.001
9,0.67384916748286,0.6450420030747243,0.6603690285258739,0.6476401400756387,0.0507777160738974,-0.0376554174067496,0.0032897087628798,0.0507777160738974,-0.0436713380344551,0.0302934813598713,eo,0.001
10,0.672869735553379,0.645535063188779,0.6560454723073417,0.6472079073434486,0.0688104462289133,0.0708634719710669,0.0560063681250554,0.0688104462289133,-0.0739262216308124,0.0560063681250554,eo,0.001
1,0.7033773861967695,0.6750440570349124,0.6849516569648539,0.6735940622520036,0.0219209983645025,-0.0329139622873665,-0.0197896118620113,0.0219209983645025,0.1399235069137981,0.0929770206324716,eo,0.01
2,0.6852667645619187,0.6621654141270686,0.6715833349979691,0.664588206874713,0.0686633465789793,-0.0385216937959798,0.0052111866484422,0.0686633465789793,-0.0416258869586493,0.0092546415021948,eo,0.01
3,0.6926089084679393,0.6650721971801282,0.6827106881871923,0.662435665512933,0.0501021899933812,0.0063429823549763,0.0112800775000758,0.0501021899933812,0.0705337690631808,0.0602496820544337,eo,0.01
4,0.706803720019579,0.6778162860494757,0.6921811364894132,0.6770245514504108,0.0412795641083482,-0.0128141670791398,0.0013886907493484,0.0412795641083482,0.0738520408163265,0.0600839309545572,eo,0.01
5,0.6960352422907489,0.6655214031075807,0.6807171143896097,0.6673226616774226,0.0896915659959421,0.0184509326845093,0.0532757446814384,0.0896915659959421,-0.1350027218290691,-0.0673682972568807,eo,0.01
6,0.6769456681350955,0.6530075821302758,0.665936819825912,0.6563504191178071,0.0489034020734309,-0.0166533083978983,0.0026573816854851,0.0489034020734309,-0.0166533083978983,0.0311509995337716,eo,0.01
7,0.6793930494371023,0.6551495984123709,0.6741617890061665,0.6560002920728748,0.0277186977173515,0.0638635013157522,0.0211118714345269,0.0277186977173515,0.0819888964304982,0.023772509575786,eo,0.01
8,0.6895200783545543,0.6626022559796788,0.677808654444656,0.6557804598502274,0.0061607867262239,-0.0467709462598729,-0.0310381184384878,0.0061607867262239,0.1074211502782931,0.0775473098330241,eo,0.01
9,0.67384916748286,0.6450420030747243,0.6603690285258739,0.6476401400756387,0.0507777160738974,-0.0376554174067496,0.0032897087628798,0.0507777160738974,-0.0436713380344551,0.0302934813598713,eo,0.01
10,0.672869735553379,0.645535063188779,0.6560454723073417,0.6472079073434486,0.0688104462289133,0.0708634719710669,0.0560063681250554,0.0688104462289133,-0.0739262216308124,0.0560063681250554,eo,0.01
1,0.7033773861967695,0.6750440570349124,0.6849516569648539,0.6735940622520036,0.021920998364502592,-0.032913962287366594,-0.019789611862011322,0.021920998364502592,0.13992350691379818,0.09297702063247161,eo,0.1
2,0.6852667645619187,0.6621654141270686,0.6715833349979691,0.664588206874713,0.06866334657897932,-0.03852169379597986,0.005211186648442265,0.06866334657897932,-0.04162588695864933,0.009254641502194835,eo,0.1
3,0.6926089084679393,0.6650721971801282,0.6827106881871923,0.662435665512933,0.050102189993381285,0.006342982354976323,0.011280077500075827,0.050102189993381285,0.07053376906318087,0.06024968205443373,eo,0.1
4,0.706803720019579,0.6778162860494757,0.6921811364894132,0.6770245514504108,0.04127956410834824,-0.012814167079139849,0.0013886907493484216,0.04127956410834824,0.07385204081632657,0.0600839309545572,eo,0.1
5,0.6960352422907489,0.6655214031075807,0.6807171143896097,0.6673226616774226,0.08969156599594214,0.018450932684509314,0.05327574468143843,0.08969156599594214,-0.13500272182906914,-0.06736829725688075,eo,0.1
6,0.6769456681350955,0.6530075821302758,0.665936819825912,0.6563504191178071,0.04890340207343091,-0.016653308397898303,0.002657381685485141,0.04890340207343091,-0.016653308397898303,0.03115099953377163,eo,0.1
7,0.6793930494371023,0.6551495984123709,0.6741617890061665,0.6560002920728748,0.02771869771735158,0.06386350131575225,0.021111871434526946,0.02771869771735158,0.08198889643049823,0.02377250957578607,eo,0.1
8,0.6895200783545543,0.6626022559796788,0.677808654444656,0.6557804598502274,0.006160786726223916,-0.04677094625987299,-0.03103811843848789,0.006160786726223916,0.10742115027829313,0.07754730983302412,eo,0.1
9,0.67384916748286,0.6450420030747243,0.6603690285258739,0.6476401400756387,0.050777716073897444,-0.0376554174067496,0.0032897087628798727,0.050777716073897444,-0.04367133803445511,0.03029348135987136,eo,0.1
10,0.672869735553379,0.645535063188779,0.6560454723073417,0.6472079073434486,0.06881044622891333,0.0708634719710669,0.056006368125055425,0.06881044622891333,-0.07392622163081242,0.056006368125055425,eo,0.1
