fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
3,0.5675675675675675,0.5229258308895406,0.5203185703185703,0.5174988753936122,0.0106079151366788,0.0248447204968944,-0.0072317278018672,0.0106079151366788,0.0526315789473683,0.0374269005847952,eo,0.0001
4,0.6122448979591837,0.6444904531861053,0.5840909090909091,0.5741980669561563,-0.0223577235772357,-0.0681003584229391,-0.0557893096462521,-0.0223577235772357,-0.0681003584229391,0.0667958656330749,eo,0.0001
5,0.6326530612244898,0.6020558932792975,0.5608810511030634,0.5680236314963537,0.0882633587786259,-0.0324675324675324,0.0117988535419727,0.0882633587786259,0.2205882352941176,0.1195121951219511,eo,0.0001
6,0.6122448979591837,0.5694967642229306,0.5610005976265687,0.5633599807567268,0.0380090497737556,0.1666666666666666,0.1028301886792452,0.0380090497737556,0.172093023255814,-0.1071902392797915,eo,0.0001
7,0.6666666666666666,0.6265811965811966,0.6092386893893286,0.6083348930064258,0.1150667514303878,-0.0606060606060606,0.0346969696969697,0.1150667514303878,-0.0744186046511627,0.0346969696969697,eo,0.0001
8,0.564625850340136,0.5555555555555556,0.5353865770532437,0.533149894204661,0.0518518518518518,0.0944055944055944,0.0305804567772653,0.0518518518518518,0.1863636363636364,0.0889248522375457,eo,0.0001
9,0.5850340136054422,0.5559609250398724,0.5573697790678923,0.5285693380161771,0.0323636363636363,0.1428571428571428,0.0603174603174603,0.0323636363636363,-0.1677018633540372,-0.0724585266137274,eo,0.0001
10,0.5918367346938775,0.554627309013274,0.5555555555555555,0.5541742507295563,-0.0476190476190476,0.219047619047619,0.0333333333333333,-0.0476190476190476,0.219047619047619,0.1572120138904859,eo,0.0001
1,0.6013513513513513,0.5794871794871795,0.5506368028107159,0.5338319088319089,0.0504347826086956,0.1071428571428571,0.0590482326951399,0.0504347826086956,-0.25,-0.0965170278637771,eo,0.001
2,0.6148648648648649,0.6281471430725162,0.5770027500982178,0.5716911764705882,0.0224390243902438,-0.1076923076923077,-0.0411313772138514,0.0224390243902438,-0.1322751322751323,-0.0411313772138514,eo,0.001
3,0.5675675675675675,0.5229258308895406,0.5203185703185703,0.5174988753936122,0.0106079151366788,0.0248447204968944,-0.0072317278018672,0.0106079151366788,0.0526315789473683,0.0374269005847952,eo,0.001
4,0.6122448979591837,0.6444904531861053,0.5840909090909091,0.5741980669561563,-0.0223577235772357,-0.0681003584229391,-0.0557893096462521,-0.0223577235772357,-0.0681003584229391,0.0667958656330749,eo,0.001
5,0.6326530612244898,0.6020558932792975,0.5608810511030634,0.5680236314963537,0.0882633587786259,-0.0324675324675324,0.0117988535419727,0.0882633587786259,0.2205882352941176,0.1195121951219511,eo,0.001
6,0.6122448979591837,0.5694967642229306,0.5610005976265687,0.5633599807567268,0.0380090497737556,0.1666666666666666,0.1028301886792452,0.0380090497737556,0.172093023255814,-0.1071902392797915,eo,0.001
7,0.6666666666666666,0.6265811965811966,0.6092386893893286,0.6083348930064258,0.1150667514303878,-0.0606060606060606,0.0346969696969697,0.1150667514303878,-0.0744186046511627,0.0346969696969697,eo,0.001
8,0.564625850340136,0.5555555555555556,0.5353865770532437,0.533149894204661,0.0518518518518518,0.0944055944055944,0.0305804567772653,0.0518518518518518,0.1863636363636364,0.0889248522375457,eo,0.001
9,0.5850340136054422,0.5559609250398724,0.5573697790678923,0.5285693380161771,0.0323636363636363,0.1428571428571428,0.0603174603174603,0.0323636363636363,-0.1677018633540372,-0.0724585266137274,eo,0.001
10,0.5918367346938775,0.554627309013274,0.5555555555555555,0.5541742507295563,-0.0476190476190476,0.219047619047619,0.0333333333333333,-0.0476190476190476,0.219047619047619,0.1572120138904859,eo,0.001
1,0.6013513513513513,0.5794871794871795,0.5506368028107159,0.5338319088319089,0.0504347826086956,0.1071428571428571,0.0590482326951399,0.0504347826086956,-0.25,-0.0965170278637771,eo,0.01
2,0.6148648648648649,0.6281471430725162,0.5770027500982178,0.5716911764705882,0.0224390243902438,-0.1076923076923077,-0.0411313772138514,0.0224390243902438,-0.1322751322751323,-0.0411313772138514,eo,0.01
3,0.5675675675675675,0.5229258308895406,0.5203185703185703,0.5174988753936122,0.0106079151366788,0.0248447204968944,-0.0072317278018672,0.0106079151366788,0.0526315789473683,0.0374269005847952,eo,0.01
4,0.6122448979591837,0.6444904531861053,0.5840909090909091,0.5741980669561563,-0.0223577235772357,-0.0681003584229391,-0.0557893096462521,-0.0223577235772357,-0.0681003584229391,0.0667958656330749,eo,0.01
5,0.6326530612244898,0.6020558932792975,0.5608810511030634,0.5680236314963537,0.0882633587786259,-0.0324675324675324,0.0117988535419727,0.0882633587786259,0.2205882352941176,0.1195121951219511,eo,0.01
6,0.6122448979591837,0.5694967642229306,0.5610005976265687,0.5633599807567268,0.0380090497737556,0.1666666666666666,0.1028301886792452,0.0380090497737556,0.172093023255814,-0.1071902392797915,eo,0.01
7,0.6666666666666666,0.6265811965811966,0.6092386893893286,0.6083348930064258,0.1150667514303878,-0.0606060606060606,0.0346969696969697,0.1150667514303878,-0.0744186046511627,0.0346969696969697,eo,0.01
8,0.564625850340136,0.5555555555555556,0.5353865770532437,0.533149894204661,0.0518518518518518,0.0944055944055944,0.0305804567772653,0.0518518518518518,0.1863636363636364,0.0889248522375457,eo,0.01
9,0.5850340136054422,0.5559609250398724,0.5573697790678923,0.5285693380161771,0.0323636363636363,0.1428571428571428,0.0603174603174603,0.0323636363636363,-0.1677018633540372,-0.0724585266137274,eo,0.01
10,0.5918367346938775,0.554627309013274,0.5555555555555555,0.5541742507295563,-0.0476190476190476,0.219047619047619,0.0333333333333333,-0.0476190476190476,0.219047619047619,0.1572120138904859,eo,0.01
1,0.6013513513513513,0.5794871794871795,0.5506368028107159,0.5338319088319089,0.05043478260869565,0.10714285714285712,0.0590482326951399,0.05043478260869565,-0.25,-0.09651702786377711,eo,0.1
2,0.6148648648648649,0.6281471430725162,0.5770027500982178,0.5716911764705882,0.022439024390243895,-0.1076923076923077,-0.04113137721385145,0.022439024390243895,-0.13227513227513232,-0.04113137721385145,eo,0.1
3,0.5675675675675675,0.5229258308895406,0.5203185703185703,0.5174988753936122,0.010607915136678886,0.0248447204968944,-0.007231727801867267,0.010607915136678886,0.05263157894736836,0.03742690058479528,eo,0.1
4,0.6122448979591837,0.6444904531861053,0.5840909090909091,0.5741980669561563,-0.022357723577235783,-0.0681003584229391,-0.05578930964625216,-0.022357723577235783,-0.0681003584229391,0.06679586563307496,eo,0.1
5,0.6326530612244898,0.6020558932792975,0.5608810511030634,0.5680236314963537,0.08826335877862596,-0.03246753246753248,0.011798853541972798,0.08826335877862596,0.22058823529411764,0.11951219512195119,eo,0.1
6,0.6122448979591837,0.5694967642229306,0.5610005976265687,0.5633599807567268,0.03800904977375566,0.16666666666666669,0.10283018867924529,0.03800904977375566,0.172093023255814,-0.10719023927979153,eo,0.1
7,0.6666666666666666,0.6265811965811966,0.6092386893893286,0.6083348930064258,0.1150667514303878,-0.06060606060606061,0.0346969696969697,0.1150667514303878,-0.07441860465116279,0.0346969696969697,eo,0.1
8,0.564625850340136,0.5555555555555556,0.5353865770532437,0.533149894204661,0.05185185185185184,0.09440559440559443,0.0305804567772653,0.05185185185185184,0.1863636363636364,0.08892485223754576,eo,0.1
9,0.5850340136054422,0.5559609250398724,0.5573697790678923,0.5285693380161771,0.03236363636363636,0.14285714285714285,0.06031746031746031,0.03236363636363636,-0.16770186335403725,-0.07245852661372748,eo,0.1
10,0.5918367346938775,0.554627309013274,0.5555555555555555,0.5541742507295563,-0.047619047619047616,0.21904761904761905,0.033333333333333326,-0.047619047619047616,0.21904761904761905,0.1572120138904859,eo,0.1
