fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,1e-07
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,1e-07
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,1e-07
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,1e-07
8,0.453525641025641,0.1642625607779578,0.248484492481203,0.158502696579169,0.0149892933618843,0.0135135135135134,0.0149200220628791,0.0149892933618843,0.0135135135135134,0.0149200220628791,cp,1e-07
9,0.453525641025641,0.219545192861255,0.2566145624815053,0.1914387021929496,0.0344558429973238,0.0627586206896551,0.0399502466873204,0.0344558429973238,0.0627586206896551,0.0399502466873204,cp,1e-07
10,0.4407051282051282,0.2077978056426332,0.2550773857799405,0.1837461718609259,0.0626230094829128,0.0476567308537764,0.0617637703480017,0.0626230094829128,-0.0887021475256769,-0.0685552779670426,cp,1e-07
1,0.4592,0.2365982851473922,0.2627284053156146,0.1990760407816482,0.0523340778117847,0.0596148399886717,0.0539275119646224,0.0523340778117847,-0.0754336425978217,-0.0618262835956262,cp,1e-06
2,0.4672,0.2116526825454108,0.2650474956822107,0.2266883939887742,0.1653170297190056,0.1816299642386599,0.1709568260909612,0.1653170297190056,0.1816299642386599,0.1709568260909612,cp,1e-06
3,0.4624,0.2217592592592592,0.2647108988572403,0.2143066598523756,0.1009879690861286,0.106060606060606,0.1047683962398114,0.1009879690861286,-0.1191458634206725,-0.1122054039599034,cp,1e-06
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,1e-06
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,1e-06
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,1e-06
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,1e-06
8,0.453525641025641,0.1642625607779578,0.248484492481203,0.158502696579169,0.0149892933618843,0.0135135135135134,0.0149200220628791,0.0149892933618843,0.0135135135135134,0.0149200220628791,cp,1e-06
9,0.453525641025641,0.219545192861255,0.2566145624815053,0.1914387021929496,0.0344558429973238,0.0627586206896551,0.0399502466873204,0.0344558429973238,0.0627586206896551,0.0399502466873204,cp,1e-06
10,0.4407051282051282,0.2077978056426332,0.2550773857799405,0.1837461718609259,0.0626230094829128,0.0476567308537764,0.0617637703480017,0.0626230094829128,-0.0887021475256769,-0.0685552779670426,cp,1e-06
1,0.4592,0.2365982851473922,0.2627284053156146,0.1990760407816482,0.0523340778117847,0.0596148399886717,0.0539275119646224,0.0523340778117847,-0.0754336425978217,-0.0618262835956262,cp,1e-05
2,0.4672,0.2116526825454108,0.2650474956822107,0.2266883939887742,0.1653170297190056,0.1816299642386599,0.1709568260909612,0.1653170297190056,0.1816299642386599,0.1709568260909612,cp,1e-05
3,0.4624,0.2217592592592592,0.2647108988572403,0.2143066598523756,0.1009879690861286,0.106060606060606,0.1047683962398114,0.1009879690861286,-0.1191458634206725,-0.1122054039599034,cp,1e-05
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,1e-05
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,1e-05
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,1e-05
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,1e-05
8,0.453525641025641,0.1642625607779578,0.248484492481203,0.158502696579169,0.0149892933618843,0.0135135135135134,0.0149200220628791,0.0149892933618843,0.0135135135135134,0.0149200220628791,cp,1e-05
9,0.453525641025641,0.219545192861255,0.2566145624815053,0.1914387021929496,0.0344558429973238,0.0627586206896551,0.0399502466873204,0.0344558429973238,0.0627586206896551,0.0399502466873204,cp,1e-05
10,0.4407051282051282,0.2077978056426332,0.2550773857799405,0.1837461718609259,0.0626230094829128,0.0476567308537764,0.0617637703480017,0.0626230094829128,-0.0887021475256769,-0.0685552779670426,cp,1e-05
1,0.4592,0.2365982851473922,0.2627284053156146,0.1990760407816482,0.0523340778117847,0.0596148399886717,0.0539275119646224,0.0523340778117847,-0.0754336425978217,-0.0618262835956262,cp,0.0001
2,0.4672,0.2116526825454108,0.2650474956822107,0.2266883939887742,0.1653170297190056,0.1816299642386599,0.1709568260909612,0.1653170297190056,0.1816299642386599,0.1709568260909612,cp,0.0001
3,0.4624,0.2217592592592592,0.2647108988572403,0.2143066598523756,0.1009879690861286,0.106060606060606,0.1047683962398114,0.1009879690861286,-0.1191458634206725,-0.1122054039599034,cp,0.0001
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,0.0001
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,0.0001
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,0.0001
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,0.0001
8,0.453525641025641,0.1642625607779578,0.248484492481203,0.158502696579169,0.0149892933618843,0.0135135135135134,0.0149200220628791,0.0149892933618843,0.0135135135135134,0.0149200220628791,cp,0.0001
9,0.453525641025641,0.219545192861255,0.2566145624815053,0.1914387021929496,0.0344558429973238,0.0627586206896551,0.0399502466873204,0.0344558429973238,0.0627586206896551,0.0399502466873204,cp,0.0001
10,0.4407051282051282,0.2077978056426332,0.2550773857799405,0.1837461718609259,0.0626230094829128,0.0476567308537764,0.0617637703480017,0.0626230094829128,-0.0887021475256769,-0.0685552779670426,cp,0.0001
1,0.4592,0.2365982851473922,0.2627284053156146,0.1990760407816482,0.0523340778117847,0.0596148399886717,0.0539275119646224,0.0523340778117847,-0.0754336425978217,-0.0618262835956262,cp,0.001
2,0.4672,0.2116526825454108,0.2650474956822107,0.2266883939887742,0.1653170297190056,0.1816299642386599,0.1709568260909612,0.1653170297190056,0.1816299642386599,0.1709568260909612,cp,0.001
3,0.4624,0.2217592592592592,0.2647108988572403,0.2143066598523756,0.1009879690861286,0.106060606060606,0.1047683962398114,0.1009879690861286,-0.1191458634206725,-0.1122054039599034,cp,0.001
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,0.001
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,0.001
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,0.001
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,0.001
8,0.453525641025641,0.1642625607779578,0.248484492481203,0.158502696579169,0.0149892933618843,0.0135135135135134,0.0149200220628791,0.0149892933618843,0.0135135135135134,0.0149200220628791,cp,0.001
9,0.453525641025641,0.219545192861255,0.2566145624815053,0.1914387021929496,0.0344558429973238,0.0627586206896551,0.0399502466873204,0.0344558429973238,0.0627586206896551,0.0399502466873204,cp,0.001
10,0.4407051282051282,0.2077978056426332,0.2550773857799405,0.1837461718609259,0.0626230094829128,0.0476567308537764,0.0617637703480017,0.0626230094829128,-0.0887021475256769,-0.0685552779670426,cp,0.001
1,0.4592,0.2365982851473922,0.2627284053156146,0.1990760407816482,0.0523340778117847,0.0596148399886717,0.0539275119646224,0.0523340778117847,-0.0754336425978217,-0.0618262835956262,cp,0.01
2,0.4672,0.2116526825454108,0.2650474956822107,0.2266883939887742,0.1653170297190056,0.1816299642386599,0.1709568260909612,0.1653170297190056,0.1816299642386599,0.1709568260909612,cp,0.01
3,0.4624,0.2217592592592592,0.2647108988572403,0.2143066598523756,0.1009879690861286,0.106060606060606,0.1047683962398114,0.1009879690861286,-0.1191458634206725,-0.1122054039599034,cp,0.01
4,0.4384,0.3167922948073702,0.2608661457647455,0.181933696580797,0.0386338327596679,0.0152253806345158,0.0364383783906523,0.0386338327596679,-0.0595028067361668,-0.046198771789136,cp,0.01
5,0.464,0.2274999999999999,0.2697172619047619,0.2290523160802878,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,-0.0595184953724369,-0.1257525083612041,-0.0663148570219738,cp,0.01
6,0.44,0.259375,0.2556147266018115,0.1704572410621354,0.0367170626349891,0.0234741784037558,0.0357370892018779,0.0367170626349891,-0.0616438356164383,-0.0402856402056955,cp,0.01
7,0.4807692307692308,0.2051926298157453,0.25375,0.1820311464057872,0.0240397674797631,0.0077198478406802,0.022960093699627,0.0240397674797631,-0.010908168442415,0.022960093699627,cp,0.01
